SK_ID_CURR,TARGET
100001,0.13
100005,0.14
100013,0.13
100028,0.14
100038,0.16
100042,0.11
100057,0.07
100065,0.15
100066,0.1
100067,0.27
100074,0.12
100090,0.14
100091,0.22
100092,0.18
100106,0.18
100107,0.25
100109,0.12
100117,0.2
100128,0.19
100141,0.18
100150,0.08
100168,0.1
100169,0.13
100170,0.09
100171,0.11
100172,0.21
100184,0.24
100187,0.21
100212,0.28
100222,0.2
100223,0.14
100232,0.12
100241,0.26
100245,0.11
100253,0.1
100256,0.2
100271,0.16
100278,0.31
100280,0.11
100306,0.24
100311,0.31
100312,0.1
100330,0.21
100331,0.19
100352,0.21
100358,0.08
100367,0.09
100382,0.24
100384,0.2
100385,0.16
100386,0.2
100399,0.11
100404,0.22
100416,0.12
100422,0.21
100426,0.15
100438,0.12
100444,0.34
100445,0.13
100446,0.27
100447,0.19
100450,0.23
100466,0.15
100483,0.05
100484,0.15
100494,0.18
100510,0.2
100512,0.14
100517,0.07
100548,0.11
100551,0.12
100552,0.19
100553,0.14
100561,0.21
100568,0.28
100569,0.12
100591,0.18
100592,0.18
100602,0.14
100607,0.1
100613,0.23
100617,0.27
100618,0.23
100622,0.28
100625,0.18
100677,0.19
100699,0.03
100702,0.43
100711,0.18
100729,0.18
100740,0.23
100744,0.18
100745,0.17
100747,0.2
100751,0.3
100752,0.29
100753,0.26
100754,0.21
100760,0.17
100762,0.17
100763,0.18
100765,0.11
100770,0.12
100772,0.08
100777,0.11
100791,0.09
100792,0.05
100797,0.06
100823,0.16
100826,0.16
100830,0.07
100836,0.26
100872,0.13
100910,0.17
100913,0.31
100918,0.15
100931,0.06
100952,0.18
100953,0.21
100965,0.21
100970,0.11
100982,0.25
100983,0.25
100984,0.16
100987,0.16
100997,0.15
100998,0.25
101002,0.21
101005,0.24
101008,0.17
101020,0.13
101021,0.13
101024,0.2
101025,0.19
101026,0.17
101031,0.15
101041,0.1
101051,0.09
101055,0.24
101056,0.36
101057,0.19
101064,0.12
101079,0.23
101087,0.13
101090,0.14
